資料區塊,[客戶資料區塊],[市場趨勢資料區塊],[產品資料區塊],[研發資料區塊],[技術資料區塊],[成本資料區塊],視傳資料區塊,,,
索引資料庫,"- 客戶歷來郵件資料庫(內部)
- 會議紀錄資料庫(內部)
- 客抱訂單資料庫(內部)
- 客戶企業營運資料庫(內部)
- 客戶成員資料庫(內部)","- 各事業群市場歷史資料庫
- 各事業群龍頭財報資料庫
- 各大論壇新聞報導資料庫
- 各大展覽廠商資料庫","- Landscape 全產品資料庫
- 評論大數據資料庫
- 網路評測資料庫
- 產品歷史資料庫","- CPC 規格明細資料庫
- 客抱訂單資料庫(內部)
- 創新產品資料庫
- 創新提案資料庫(內部)
- 安規測試資料庫","- 專利申請資料庫(內部)
- 專利竟者資料庫
- 電機電控資料庫
- 設備能力評估資料庫","- TIP TOP 資料庫(內部)
- COGS 資料庫(內部)
- 估價成本分析資料庫(內部)
- 估價AI助手(內部)","- 客戶說明書料庫
- 客戶Guidebook資料庫
- 客戶色系、字型、Logo資料庫
- 展覽設計、型錄蒐集資料庫
- 樣品、競品攝影紀錄資料庫",,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
OEM流程,客需表,企劃案背景簡介,產品競品比較表,產品規格明細表,成本估價明細,材料成本和模具費用,效益分析表,,,
原始工時,16,24,8,8,80,2,2,60,,
預估工時,1,1,1,3,70,0.2,0.2,6.4,,
作業員,人10%、內部模型90%,內部30%+外部模型60%,外部模型100%,人30%+內部模型助手70%,人90%+內部模型助手10%,人10%、程式90%,人10%、程式90%,,,
檢索區塊,[客戶資料區塊],[市場趨勢資料區塊]、[產品資料區塊],[產品資料區塊],[研發資料區塊],[成本資料區塊],X,X,,,
AI產出,Json 資料,評估報告: 市場背景、客戶背景、競爭樣態,Json 資料,規格與安規建議,估價參考建議,X,X,,,
人工產出,X,X,X,X,寫入公版表單,X,X,,,
程式處理,讀取Json資料寫入公版表單,讀取Json資料寫入模組化版型,讀取Json資料寫入模組化版型,人工寫入公版表單,X,讀取excel資料寫入公版表單,讀取前面Json資料寫入公版表單,,,
,,,,,,,,,,
,,,,,,,,,,
ODM流程,客戶產品調查,設計發想,產品競品比較表,客需表,企劃案背景簡介,產品規格明細表,成本估價明細,材料成本和模具費用,效益分析表,
原始工時,120,40,8,16,24,8,80,2,2,220
預估工時,16,16,1,1,1,3,70,0.2,0.2,38.4
作業員,內部10%+外部模型90%,人50%+內部模型助手50%,外部模型100%,人10%、內部模型90%,內部30%+外部模型60%,人30%+內部模型助手70%,人90%+內部模型助手10%,人10%、程式90%,人10%、程式90%,
檢索區塊,[客戶資料區塊]、[市場趨勢資料區塊]、[產品資料區塊],[產品資料區塊]、[研發資料區塊]、[技術資料區塊],[產品資料區塊],[客戶資料區塊],[市場趨勢資料區塊]、[產品資料區塊],[研發資料區塊],[成本資料區塊],X,X,
AI產出,評估報告:評論、缺口、歷史、客戶動向,評估可行性,Json 資料,Json 資料,評估報告: 市場背景、客戶背景、競爭樣態,規格與安規建議,估價參考建議,X,X,
人工產出,,,,X,X,X,寫入公版表單,X,X,
程式處理,X,X,讀取Json資料寫入模組化版型,讀取Json資料寫入公版表單,讀取Json資料寫入模組化版型,人工寫入公版表單,X,讀取excel資料寫入公版表單,讀取前面Json資料寫入公版表單,
