AI 導入前期提要,,,,
分類,簡介,能力評分,,
外部 AI,直接或間接使用(API)大模型如 GPT、Gemini 等,推理分析能力,10,數十萬字上下文記憶能力，可執行各領域推理
外部 AI,直接或間接使用(API)大模型如 GPT、Gemini 等,內部資料檢索能力,10,"可讀取各式資料格式
 Json編碼或文字檔案:10、PDF:8、圖形:6"
外部 AI,直接或間接使用(API)大模型如 GPT、Gemini 等,外部搜尋能力,10,
外部 AI,直接或間接使用(API)大模型如 GPT、Gemini 等,Vibe Coding能力,10,可實現高完成度程式架構
外部 AI,直接或間接使用(API)大模型如 GPT、Gemini 等,Agent WorkFlow能力,10,可自我控制完成複雜程序作業
外部 AI,直接或間接使用(API)大模型如 GPT、Gemini 等,隱私性,3,
外部 AI,直接或間接使用(API)大模型如 GPT、Gemini 等,特定領域分析能力,5,無法依據內部數據庫進行物理推算
地端 / 內部 AI,將開源模型部署於內部實體伺服器或工作站，斷網獨立運作，處理文書語言推理。,推理分析能力,3-5,"受限於公司自建的硬體算力上限，與資料複雜性。
 文書:5、分析:3、圖形: 1"
地端 / 內部 AI,將開源模型部署於內部實體伺服器或工作站，斷網獨立運作，處理文書語言推理。,內部資料檢索能力,8,沒辦法像 Gemini 一樣一次吞幾百頁 PDF 還不漏字。
地端 / 內部 AI,將開源模型部署於內部實體伺服器或工作站，斷網獨立運作，處理文書語言推理。,外部搜尋能力,0-4,無法直接發揮google搜尋引勤能力。
地端 / 內部 AI,將開源模型部署於內部實體伺服器或工作站，斷網獨立運作，處理文書語言推理。,Vibe Coding能力,1-3,"地端只能做到單次的生成與問答，無法完成專案。
 簡易程式:3、專案程式:1"
地端 / 內部 AI,將開源模型部署於內部實體伺服器或工作站，斷網獨立運作，處理文書語言推理。,Agent WorkFlow能力,4,地端模型工具調用穩定度極差，任務卡住機率高。
地端 / 內部 AI,將開源模型部署於內部實體伺服器或工作站，斷網獨立運作，處理文書語言推理。,隱私性,10,
地端 / 內部 AI,將開源模型部署於內部實體伺服器或工作站，斷網獨立運作，處理文書語言推理。,特定領域分析能力,4,需要內部 IT 花大量時間，但無法提供物理計算。
專用分析型 AI,專業工程軟體 (CAE/CAD) 內建的特化機器學習演算法與數值預測模型,推理分析能力,0,
專用分析型 AI,專業工程軟體 (CAE/CAD) 內建的特化機器學習演算法與數值預測模型,特定領域分析能力,10,通常內建在軟體中，執行固定參數分析，回傳固定資料結構
